MQ2;MQ3;MQ4;MQ6;MQ7;MQ8;MQ135;QCM;Temp;Hum;Pres
45,535523727269585;60,270659597622384;68,01233281955737;68,23047724176914;67,69911552665563;54,35923592467434;68,99417832436657;49,404960950234475;29,145453726462495;63,01689399994426;1006,2864018701148
49,469882313959765;34,38635639483722;60,68585975298;57,500327892302124;63,44743327343259;62,95483462998833;45,631022963900485;45,1146170406967;27,51902057067734;58,27523744210168;1005,9666795292409
31,178514718747216;63,18698016781592;68,56475372988898;61,737745368401356;53,17551520981284;58,82719959389087;45,83516185668705;45,42321628742067;28,402559309533977;55,62439848379301;1005,8691560788072
58,34341924398901;69,22664668412153;33,71504857873347;58,16705180198803;55,3903623839425;64,42708264933086;31,759418394806247;54,95460279808568;28,8989166918736;61,26624429513838;1006,5998762260933
52,053773253886206;54,46669095450413;65,538147738331;43,092484543084886;34,18061266043769;36,185394470364564;55,224697854816;69,24122328427471;29,196944901504462;57,61987833605213;1005,590693772504
39,240553244353336;44,443533026215675;41,600114916641516;45,44514972372399;62,793349424014046;45,68920933504779;58,269260754336756;43,97514782302478;28,261124928320562;60,923742279720926;1006,0408354373606
38,51090009367998;63,12019147851218;30,424358940174173;59,84369250257419;46,9432703985111;43,14585006428774;68,41818240546885;68,95282239135238;28,910620140144292;61,9757149403649;1004,2274978691369
67,31287758159914;32,07259985421573;55,98609847779258;53,67618268536634;50,5641502129333;68,33857453121482;63,758524744139564;33,284027913104175;28,533619196665907;64,772220090549;1004,8038131045151
64,1442252338149;43,592352890989865;41,35714679354458;60,8482813055299;55,983400973863866;44,489748118527906;51,95624905088721;67,36787296481211;29,461914915114267;56,83092741393897;1003,9745974654621
65,78456664088574;65,79584954670266;67,12892040410898;40,081589558641184;50,3428193317923;61,77031916017381;56,57915176221387;48,066076987553274;29,037634920291598;56,715236611209384;1003,9358203480622
58,81243307537263;50,18252278700807;65,62812416540606;57,030029874073236;47,792176192000106;30,52109419480262;69,71385387446625;55,478950123084154;28,134005842212055;61,979083671629354;1006,1188644496173
54,817615369007044;42,16056470724506;56,23713627868198;41,36744394268985;30,018446147490543;44,42364594915574;31,111815645135504;42,0123950658271;27,872281962910385;58,27300594287149;1006,2356382970271
32,76815005234602;31,709902244201317;42,464106548633765;30,96879521527869;33,230429466153126;36,43769240116151;53,36680473772584;51,60497786085109;27,92155370818249;62,94750002234487;1006,9026947210589
59,37126459421365;62,35081431049828;54,42940861657918;45,60322179144762;41,37739153051383;54,33004518574287;38,94571318774805;47,04063846425478;29,325667324141573;56,21222663838739;1006,556792764726
52,693408991688656;62,698901951244224;67,97747215411624;67,64072194517257;45,019828245499994;45,05670892956624;47,58651180346662;47,59073217908836;27,806838292834648;62,765555657459046;1006,1546774829619
